route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
904,10,"904","","ŁOZINA - SKRZY. - Wrocławska - Trzebnicka - Parkowa - Wrocławska - Bierutowska - Krzywoustego - al. M. Kromera - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Wyszyńskiego - al. M. Kromera - Krzywoustego - Bierutowska - Wrocławska - Parkowa - Trzebnicka - Wrocławska - ŁOZINA - SKRZY.",3,39,"2019-12-16","2999-01-01"
908,9,"908","","PSARY - Główna - Sułowska - Żmigrodzka - Sułowska - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - DWORZEC NADODRZE|DWORZEC NADODRZE - Trzebnicka - Żmigrodzka - Sułowska - Żmigrodzka - Sułowska - Główna - PSARY",3,39,"2020-02-08","2999-01-01"
911,10,"911","","BIELAWA - Wrocławska - Wilczycka - Wrocławska - Szewczenki - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Brücknera - Krzywoustego - ks. Mariana Stanety - Gorlicka - Szewczenki - Wrocławska - Wilczycka - Wrocławska - BIELAWA",3,39,"2020-02-29","2999-01-01"
914,10,"914","","PRUSZOWICE - Parkowa - Stawowa - Wrocławska - Trzebnicka - Parkowa - Wrocławska - Bierutowska - Krzywoustego - al. M. Kromera - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Wyszyńskiego - al. M. Kromera - Krzywoustego - Bierutowska - Wrocławska - Parkowa - Trzebnicka - Wrocławska - Stawowa - Parkowa - PRUSZOWICE",3,39,"2019-12-16","2999-01-01"
917,11,"917","","GAŁÓW (PĘTLA) - Słoneczna - Wrocławska - Gromadzka - Szkolna - Miodowa - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Miodowa - Szkolna - Gromadzka - Wrocławska - Słoneczna - GAŁÓW (PĘTLA)",3,39,"2020-03-14","2999-01-01"
921,10,"921","","OLEŚNICZKA - Wrocławska - Wilczycka - Wrocławska - Szewczenki - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Brücknera - Krzywoustego - ks. Mariana Stanety - Gorlicka - Szewczenki - Wrocławska - Wilczycka - Wrocławska - OLEŚNICZKA",3,39,"2020-02-29","2999-01-01"
923,11,"923","","BRZEZINA (PĘTLA) - Kopernika - Główna - Wrocławska - Główna - Wilkszyńska - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA|LEŚNICA - Jeleniogórska - Główna - Wilkszyńska - Główna - Wrocławska - Główna - Kopernika - BRZEZINA (PĘTLA)",3,39,"2020-03-14","2999-01-01"
924,10,"924","","KAMIEŃ DIAMENTOWA - Wiejska - Broniewskiego - Wrocławska - Bierutowska - Krzywoustego - al. M. Kromera - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Wyszyńskiego - al. M. Kromera - Krzywoustego - Bierutowska - Wrocławska - Broniewskiego - Wschodnia - KAMIEŃ DIAMENTOWA",3,39,"2019-12-16","2999-01-01"
930,9,"930","","KRZYŻANOWICE - Główna - Kamieńskiego - Żmigrodzka - Kasprowicza - Boya-Żeleńskiego - al. M. Kromera - KROMERA|KROMERA - Boya-Żeleńskiego - Kasprowicza - Żmigrodzka - Kamieńskiego - Główna - KRZYŻANOWICE",3,39,"2020-02-29","2999-01-01"
931,10,"931","","KIEŁCZÓWEK - PĘTLA - Rzeczna - Wilczycka - Wrocławska - Kiełczowska - Krzywoustego - Gorlicka - ks. Mariana Stanety - MULICKA|MULICKA - Kiełczowska - Wrocławska - Wilczycka - Rzeczna - Topolowa - KIEŁCZÓWEK - PĘTLA",3,39,"2020-02-01","2999-01-01"
934,10,"934","","JAKSONOWICE - SKRZY. - Milicka - Wrocławska - Trzebnicka - Stawowa - Parkowa - Stawowa - Okulickiego - Bora-Komorowskiego - Krzywoustego - Gorlicka - ks. Mariana Stanety - MULICKA|MULICKA - Bora-Komorowskiego - Okulickiego - Stawowa - Parkowa - Stawowa - Trzebnicka - Wrocławska - Milicka - JAKSONOWICE - SKRZY.",3,39,"2019-12-16","2999-01-01"
936,10,"936","","GODZIESZOWA - TRANSFORMATOR - Wrocławska - Nowego Osiedla - Wrocławska - Pawłowicka - Azaliowa - Bora-Komorowskiego - Krzywoustego - Gorlicka - ks. Mariana Stanety - MULICKA|MULICKA - Bora-Komorowskiego - Przedwiośnie - Starodębowa - Pawłowicka - Wrocławska - GODZIESZOWA - TRANSFORMATOR",3,39,"2020-02-01","2999-01-01"
937,11,"937","","BRZEZINKA ŚREDZKA - PKP - Kolejowa - Główna - Kopernika - Chrobrego - Wińska - Dolnobrzeska - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Dolnobrzeska - Wińska - Chrobrego - Kopernika - Główna - Parkowa - Kolejowa - BRZEZINKA ŚREDZKA - PKP",3,39,"2019-12-01","2999-01-01"
938,11,"938","","LUTYNIA CENTRUM - Kościelna - Innowacyjna - Średzka - Mokrzańska - Krępicka - Dolnobrzeska - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Dolnobrzeska - Krępicka - Mokrzańska - Średzka - Wrocławska - Innowacyjna - Kościelna - LUTYNIA CENTRUM",3,39,"2019-12-01","2999-01-01"
940,11,"940","","CZERNA - Główna - Piastowska - Kościuszki - Klonowa - Parkowa - Kolejowa - BRZEZINKA ŚREDZKA - PKP|BRZEZINKA ŚREDZKA - PKP - Klonowa - Kościuszki - Piastowska - Główna - CZERNA",3,39,"2020-03-14","2999-01-01"
948,11,"948","","MIĘKINIA - PĘTLA - Sportowa - Kościuszki - Lipowa - Średzka - Mokrzańska - Krępicka - Dolnobrzeska - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Dolnobrzeska - Krępicka - Mokrzańska - Średzka - Lipowa - Kościuszki - Sportowa - MIĘKINIA - PĘTLA",3,39,"2020-03-14","2999-01-01"
958,11,"958","","LEŚNICA - Płońskiego - Średzka - Wrocławska - Chrobrego - Piastowska - Kościuszki - Średzka - Wrocławska - Sportowa - Kolejowa - KSIĘGINICE P&R",3,39,"2020-03-14","2999-01-01"
